[15:12:30] application start
[15:12:32] getdata
[15:31:59] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:31:59] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:00] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:01] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:03] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:05] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:19] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:22] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:23] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:24] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:25] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:25] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:26] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:28] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:31] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:35] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:38] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:39] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:41] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:48] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:49] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:50] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:52] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:53] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:58] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:32:59] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:04] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:22] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:23] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:26] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:26] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:27] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:32] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:34] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:35] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:37] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:38] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:39] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:41] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:45] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:46] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:46] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
[15:33:47] 未将对象引用设置到对象的实例。:   在 DWMapService.Controllers.MapController.Get(String REQUEST, Nullable`1 WIDTH, Nullable`1 HEIGHT, String BBOX, String FORMAT, String STYLES, Nullable`1 TRANSPARENT, String CRS, String LAYERS) 位置 c:\Users\Arthas\project\CTCC\hbtelecom-e2e\DWServices\DWMapService\Controllers\MapController.cs:行号 342
